LONGITUDE,LATITUDE,LABEL,LAYER,SYMBOL,KML_STYL
-80.26824,25.7794496,15591,"""""","""""",""""""
-80.2272111,25.7838462,15594,"""""","""""",""""""
-80.1433557,25.9526018,15602,"""""","""""",""""""
-80.3102901,25.6869782,15610,"""""","""""",""""""
-81.6907823,24.587567,15612,"""""","""""",""""""
-80.2868606,25.6868573,15613,"""""","""""",""""""
-80.1219229,25.9603665,16014,"""""","""""",""""""
-80.1216288,25.966424,16014,"""""","""""",""""""
-80.122599,25.9669713,16014,"""""","""""",""""""
-80.1212945,25.9722411,16014,"""""","""""",""""""
-80.2339446,25.8978022,16019,"""""","""""",""""""
-80.3111747,25.6859067,16030,"""""","""""",""""""
-80.3111419,25.6859375,16030,"""""","""""",""""""
-80.2918066,25.7467243,16031,"""""","""""",""""""
-80.1711174,25.7765463,16032,"""""","""""",""""""
-80.362052,25.8289562,16033,"""""","""""",""""""
-80.2393871,25.7941269,16036,"""""","""""",""""""
-80.9135584,24.7689752,16045,"""""","""""",""""""
-80.2226112,25.800118,16052,"""""","""""",""""""
-80.453654,25.444626,16053,"""""","""""",""""""
-80.3027631,25.7494451,16060,"""""","""""",""""""
-80.3023782,25.7494938,16060,"""""","""""",""""""
-80.2862366,25.298473,16061,"""""","""""",""""""
-80.3120769,25.6667671,16062,"""""","""""",""""""
-80.3116856,25.6667839,16062,"""""","""""",""""""
-80.1469319,25.974331,16063,"""""","""""",""""""
-80.3713328,25.6713526,16067,"""""","""""",""""""
-80.2890245,25.6628881,16069,"""""","""""",""""""
-80.4122523,25.4932859,16070,"""""","""""",""""""
-80.2784322,25.7120113,16072,"""""","""""",""""""
-80.2778493,25.7120287,16072,"""""","""""",""""""
-80.2100282,25.8257306,16073,"""""","""""",""""""
-80.3403043,25.8672388,16079,"""""","""""",""""""
-80.3811229,25.8469216,16086,"""""","""""",""""""
-80.2835495,25.6479996,16088,"""""","""""",""""""
-80.2835728,25.6489708,16088,"""""","""""",""""""
-80.250433,25.7490446,16090,"""""","""""",""""""
-80.2495511,25.7491399,16090,"""""","""""",""""""
-80.2423096,25.7493068,16091,"""""","""""",""""""
-80.2421616,25.7493193,16091,"""""","""""",""""""
-80.4582299,25.4770321,16098,"""""","""""",""""""
-80.2504264,25.8096333,16106,"""""","""""",""""""
-80.2643393,25.7021978,16107,"""""","""""",""""""
-80.3111305,26.1130546,16108,"""""","""""",""""""
-80.2896001,25.3086456,16120,"""""","""""",""""""
-80.3075554,25.632849,16121,"""""","""""",""""""
-80.3429088,25.6763717,16127,"""""","""""",""""""
-80.2859675,25.3244452,16129,"""""","""""",""""""
-80.2885797,25.297245,16131,"""""","""""",""""""
-80.272826,25.3199057,16135,"""""","""""",""""""
-80.2741753,25.3261529,16137,"""""","""""",""""""
-80.2759839,25.313271,16138,"""""","""""",""""""
-80.2712625,25.3199465,16139,"""""","""""",""""""
-80.9214411,24.7683844,16144,"""""","""""",""""""
-80.3082789,25.9086447,16146,"""""","""""",""""""
-80.287484,25.299703,16148,"""""","""""",""""""
-80.2691671,25.7473345,16150,"""""","""""",""""""
-80.2305012,25.7360288,16153,"""""","""""",""""""
-80.2599222,25.3338972,16154,"""""","""""",""""""
-80.2955449,25.3119733,16155,"""""","""""",""""""
-80.3190449,25.9115055,16159,"""""","""""",""""""
